,title,field,mukey,rotation,year,soybean_yield,maize_yield,corn_buac,soy_buac,soybean_biomass,maize_biomass,fertiliser,surfaceom_c_init,surfaceom_c_end,leach_no3
0,name_OrbweavernorthOneMo_mukey_407650_rot_sfc_sim,OrbweavernorthOneMo,407650,sfc,2019,0.0,0.0,0.0,0.0,233.58939,0.0,0.0,0.35906,0.35436,191.91449
1,name_OrbweavernorthOneMo_mukey_407651_rot_sfc_sim,OrbweavernorthOneMo,407651,sfc,2019,0.0,0.0,0.0,0.0,233.58939,0.0,0.0,0.359,0.35436,171.32614
2,name_OrbweavernorthOneMo_mukey_407671_rot_sfc_sim,OrbweavernorthOneMo,407671,sfc,2019,0.0,0.0,0.0,0.0,233.58936,0.0,0.0,0.35937,0.35436,221.00700999999998
3,name_OrbweavernorthOneMo_mukey_407691_rot_sfc_sim,OrbweavernorthOneMo,407691,sfc,2019,0.0,0.0,0.0,0.0,233.58939,0.0,0.0,0.35907,0.35436,161.23132
