,title,field,mukey,rotation,year,soybean_yield,maize_yield,corn_buac,soy_buac,soybean_biomass,maize_biomass,fertiliser,surfaceom_c_init,surfaceom_c_end,leach_no3
0,name_AccolaNoPlant_mukey_2765537_rot_sfc_sim,AccolaNoPlant,2765537,sfc,2018,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,190.99562
1,name_AccolaNoPlant_mukey_2800480_rot_sfc_sim,AccolaNoPlant,2800480,sfc,2018,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,226.15539
2,name_AccolaNoPlant_mukey_2835021_rot_sfc_sim,AccolaNoPlant,2835021,sfc,2018,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,292.20626999999996
3,name_AccolaNoPlant_mukey_2835194_rot_sfc_sim,AccolaNoPlant,2835194,sfc,2018,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,295.13512999999995
4,name_AccolaNoPlant_mukey_2922031_rot_sfc_sim,AccolaNoPlant,2922031,sfc,2018,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,248.55853
5,name_AccolaNoPlant_mukey_411333_rot_sfc_sim,AccolaNoPlant,411333,sfc,2018,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,302.50881000000004
